Date,Research Firm,Ticker,Details
2022-06-26,Spruce Point Capital,GNRC,20 Jan 2023 put 16.7%
2022-06-19,Hindenburg Research,EBIX,
2022-06-19,Culper Research,PLL,Cur $35 20 Jan 2023 put $8.4 (24%)
2022-06-12,Jehoshaphat Research,AMRC,Cur $46 20 Jan 2023 put $9 (19.6%)
2022-06-05,Hindenburg Research,ENOB,
2022-06-05,Kerrisdale Capital,LWLG,Cur $6.48 20 Jan 2023 put $1.4 3.1
2022-06-05,Helios Capital,LOCL,
2022-06-05,Buyersstrike,NWBO,
2022-05-29,Sumerian Research,BGXX,
2022-05-29,Eclipse Research,DAVE,
2022-05-29,Overlooked Alpha,ONEW,Cur $32.9 20 Jan 2023 put $5.5 8.5
2022-05-29,Overlooked Alpha,MBUU,Cur $55 17 Feb 2023 put $11.4
2022-05-29,Hindenburg Research,ENOB,
2022-05-22,Spruce Point Capital,AMR,Cur $124 Jan 2023 put $30.6
2022-05-22,Wolfpack Research,PMVP,
2022-05-22,Boatman Capital Research,AVZ,
2022-05-22,The Bear Cave,ZI,
2022-05-15,Hindenburg Research,TWTR,
2022-05-15,White Diamond Research,AZ,
2022-05-15,Anonymous activist,WSC,Cur $32.9 Jan 2023 put $3.2 5.2
2022-05-15,Citron Research,LMND,
2022-05-08,Culper Research,VERU,
2022-05-08,Scorpion Capital,IONQ,
2022-05-08,Hindenburg Research,SGLY,
2022-05-08,Peabody Street Research,SGLY,
2022-05-01,Viceroy Research,ADJ,
2022-04-24,Kerrisdale Capital,DWAC,
2022-04-24,Iceberg Research,RKLY,
2021-10-31,Grizzly Research,MP,
2021-10-31,Spruce Point Capital,HSKA,
2021-10-31,Viceroy Research,PAGS,
2021-10-31,J Capital Research,VUL,
2021-10-31,Iceberg Research,DWAC,
2021-10-31,White Diamond Research,MNTS,
2021-10-24,Bonitas Research,GWH,
2021-10-24,White Diamond Research,NXTP,
2021-10-24,Prescience Point Capital,ASLE,Bullish
2021-10-24,Citron Research,MQ,Bullish
2021-02-08,Hindenburg Research,CLOV,
2021-02-08,Snow Cap Research,BIN,
2021-02-08,Grizzly Research,FIZZ,
2021-02-08,Alex Pitti,FUV,
2021-02-08,Citron Research,CVLB,
2021-02-08,Kerrisdale Capital,TIGR,Long
2021-02-01,,,on GME
2021-01-26,Kerrisdale Capital,PLUG,
2021-01-26,Iceberg Research,EOSE,
2021-01-26,Muddy Waters Capital,EPA,
2021-01-26,Culper Research,CLSK,
2021-01-26,Phase 2 Partners,TRIT,
2021-01-26,Citron Research,GME,
2021-01-19,Iceberg Research,EOSE,
2021-01-19,Viceroy Research,TYR,
2021-01-19,Citron Research,LMND,
2021-01-19,Culper Research,CLSK,
2021-01-19,Culper Research,KIDS,
2021-01-19,Grizzly Research,DOYU,
2021-01-19,Mariner Research,BEEM,
2021-01-19,J Cap Research,BTBT,
2021-01-19,Phase 2 Partners,TRIT,
2021-01-19,,,on RVP
2021-01-11,Kir Khalon,NVRO,
2021-01-11,Spruce Point Capital,MGNI,
2021-01-11,Culper Research,BLNK,
2021-01-11,An anonymous letter,BLNK,
2020-12-28,ShadowFall Capital,NETW,
2020-12-28,Citron Research,XL,
2020-12-28,Hindenburg Research,MVIS,
2020-12-28,Sheen Bay Research,CLI,
2020-12-28,Marcus Aurelius Research,GSX,
2020-12-28,Citron Research,GSX,
2020-12-28,Grizzly Research,GSX,
2020-12-28,Scorpio VC,GSX,
2020-12-21,Marcus Aurelius Value Research,GSX,
2020-12-21,Gabriel Grego,PEN,
2020-12-21,Marc Cohodes,PEN,
2020-12-21,J Capital Research,CBAT,
2020-12-21,Muddy Waters,S30,
2020-12-21,Hindenburg Research,LOOP,
2020-12-21,Citron Research,DASH,
2020-12-21,Citron Research,LAZR,
2020-12-21,Citron Research,VUZI,
2020-12-21,Viceroy Research,WTC,
2020-12-21,Roddy Boyd,FRHC,Independent journalist
2020-12-14,Quintessential Capital Management,PEN,
2020-12-14,Marc Cohodes,PEN,Independent short-seller
2020-12-14,White Diamond Research,GP,
2020-12-14,Mariner Research,IBIO,
2020-12-14,Yet Another Value Blog,MPLN,
2020-12-14,Anonymous,S30,114-page report
2020-12-14,Citron Research,LAZR,
2020-12-07,Hindenburg Research,KNDI,
2020-12-07,Culper Research,KIDS,
2020-12-07,Anonymous account,INAQ,
2020-11-23,Kerrisdale Capital,TTCF,
2020-11-23,Muddy Waters,YY,
2020-11-23,Marc Cohodes,PEN,Independent short-seller
2020-11-23,Citron Research,SOLO,
2020-11-23,Citron Research,BLNK,
2020-11-16,Quintessential Capital Management,PEN,
2020-11-16,Muddy Waters,MPLN,
2020-11-16,Spruce Point Capital,AVY,
2020-11-16,Anonymous report,PHM,
2020-11-16,White Diamond Research,EXPI,
2020-11-16,Citron Research,NIO,
2020-11-09,,,NVEE
2020-11-09,,,CELH
2020-11-09,,,PDFS
2020-11-09,,,ZUO
2020-11-09,,,ONE
2020-11-09,,,LPSN
2020-11-09,,,PING
2020-11-09,,,LRN
2020-11-02,Citron Research,GSX,
2020-11-02,Muddy Waters,GSX,
2020-11-02,Grizzly Research,GSX,
2020-11-02,Scorpio VC,GSX,
2020-11-02,deloittefraud.com,GSX,
2020-11-02,GeoInvesting,PRPL,